DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\urllib\parse.py first seen with mtime 1722958352.0
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\openpyxl\drawing\connector.py first seen with mtime 1740395922.9800408
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\base\base.py first seen with mtime 1739180166.80245
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1732095311.9333282
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\xml\dom\__init__.py first seen with mtime 1722958352.0
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\dtypes\astype.py first seen with mtime 1732533727.3275094
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\opcode.py first seen with mtime 1722958352.0
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\core\internals\construction.py first seen with mtime 1732533727.406397
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\email\mime\message.py first seen with mtime 1722958350.0
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\pandas\_libs\tslibs\strptime.cp312-win_amd64.pyd first seen with mtime 1732533729.6159742
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\auth\transport\requests.py first seen with mtime 1741160251.8417978
DEBUG 2025-03-10 13:18:13,822 autoreload File C:\Users\Elsy Thomas\AppData\Local\Programs\Python\Python312\Lib\wsgiref\headers.py first seen with mtime 1722958352.0
